1,Sydney,New South Wales,"5,131,326","4,391,674",16.84%,20.86%
2,Melbourne,Victoria,"4,850,740","3,999,982",21.27%,19.72%
3,Brisbane,Queensland,"2,408,223","2,065,996",16.56%,9.79%
4,Perth,Western Australia,"2,043,138","1,728,867",18.18%,8.31%
5,Adelaide,South Australia,"1,333,927","1,262,940",5.62%,5.42%
6,Gold Coast–Tweed Heads,Queensland/New South Wales,"663,321","557,822",18.91%,2.70%
7,Newcastle–Maitland,New South Wales,"481,183","398,770",20.67%,1.96%
8,Canberra–Queanbeyan,Australian Capital Territory/New South Wales,"447,457","391,645",14.25%,1.82%
9,Sunshine Coast,Queensland,"325,399","270,770",20.18%,1.32%
10,Wollongong,New South Wales,"299,203","268,944",11.25%,1.22%
11,Geelong,Victoria,"260,138","173,454",49.98%,1.06%
12,Hobart,Tasmania,"226,884","211,656",7.19%,0.92%
13,Townsville,Queensland,"180,346","162,292",11.12%,0.73%
14,Cairns,Queensland,"151,925","133,911",13.45%,0.62%
15,Darwin,Northern Territory,"146,612","120,586",21.58%,0.60%
16,Toowoomba,Queensland,"135,631","105,984",27.97%,0.55%
17,Ballarat,Victoria,"103,481","91,801",12.72%,0.42%
18,Bendigo,Victoria,"97,096","86,079",12.80%,0.39%
19,Albury–Wodonga,New South Wales/Victoria,"91,923","82,083",11.99%,0.37%
20,Launceston,Tasmania,"86,788","82,220",5.56%,0.35%
21,Mackay,Queensland,"80,427","77,293",4.05%,0.33%
22,Rockhampton,Queensland,"78,871","73,681",7.04%,0.32%
23,Bunbury,Western Australia,"74,478","65,608",13.52%,0.30%
24,Coffs Harbour,New South Wales,"70,857","64,243",10.30%,0.29%
25,Bundaberg,Queensland,"70,578","67,341",4.81%,0.29%
26,Wagga Wagga,New South Wales,"56,181","52,042",8.00%,0.23%
27,Hervey Bay,Queensland,"53,492","48,680",9.88%,0.22%
28,Mildura–Wentworth,Victoria/New South Wales,"51,473","47,536",8.28%,0.21%
29,Shepparton–Mooroopna,Victoria,"51,142","46,505",9.97%,0.21%
30,Port Macquarie,New South Wales,"46,948","41,723",12.52%,0.19%
31,Gladstone–Tannum Sands,Queensland,"44,984","41,966",7.19%,0.18%
32,Tamworth,New South Wales,"42,347","38,735",9.32%,0.17%
33,Traralgon–Morwell,Victoria,"41,626","39,705",4.84%,0.17%
34,Orange,New South Wales,"40,079","36,468",9.90%,0.16%
35,Bowral–Mittagong,New South Wales,"39,300","34,858",12.74%,0.16%
36,Busselton,Western Australia,"38,289","30,286",26.42%,0.15%
37,Geraldton,Western Australia,"37,931","35,749",6.10%,0.15%
38,Dubbo,New South Wales,"37,666","33,997",10.79%,0.15%
39,Nowra–Bomaderry,New South Wales,"37,027","33,338",11.07%,0.15%
40,Warragul–Drouin,Victoria,"36,538","29,944",22.02%,0.15%
41,Bathurst,New South Wales,"36,448","32,479",12.22%,0.15%
42,Warrnambool,Victoria,"34,912","32,380",7.82%,0.14%
43,Albany,Western Australia,"34,151","30,656",11.40%,0.14%
44,Kalgoorlie–Boulder,Western Australia,"30,541","30,842",-0.99%,0.12%
45,Devonport,Tasmania,"30,153","29,051",3.79%,0.12%
46,Mount Gambier,South Australia,"29,472","27,756",6.18%,0.12%
47,Lismore,New South Wales,"28,764","28,285",1.69%,0.12%
48,Nelson Bay,New South Wales,"27,606","25,074",10.10%,0.12%
49,Maryborough,Queensland,"27,347","26,214",4.32%,0.11%
50,Burnie–Wynyard,Tasmania,"26,993","26,869",0.46%,0.11%
51,Alice Springs,Northern Territory,"26,674","25,186",5.91%,0.11%
52,Victor Harbor–Goolwa,South Australia,"26,358","23,850",10.52%,0.11%
53,Taree,New South Wales,"26,314","25,421",3.51%,0.11%
54,Ballina,New South Wales,"25,656","23,509",9.13%,0.10%
55,Morisset–Cooranbong,New South Wales,"24,694","21,774",13.41%,0.10%
56,Armidale,New South Wales,"24,326","22,464",8.29%,0.10%
57,Goulburn,New South Wales,"23,588","21,484",9.66%,0.10%
58,Whyalla,South Australia,"21,978","21,991",-0.06%,0.09%
59,Gympie,Queensland,"21,501","19,510",10.21%,0.09%
60,Forster–Tuncurry,New South Wales,"21,020","19,500",7.80%,0.09%
61,Echuca–Moama,Victoria,"20,851","19,309",7.99%,0.08%
62,Griffith,New South Wales,"19,972","17,900",11.58%,0.08%
63,Grafton,New South Wales,"19,089","18,359",3.98%,0.08%
64,Wangaratta,Victoria,"19,067","17,686",7.81%,0.08%
65,St Georges Basin–Sanctuary Point,New South Wales,"18,770","12,611",48.84%,0.08%
66,Yeppoon,Queensland,"18,764","16,372",14.61%,0.08%
67,Mount Isa,Queensland,"18,563","20,569",-9.75%,0.08%
68,Murray Bridge,South Australia,"18,382","16,708",10.02%,0.07%
69,Broken Hill,New South Wales,"17,780","18,517",-3.98%,0.07%
70,Camden Haven,New South Wales,"17,343","15,741",10.18%,0.07%
71,Moe–Newborough,Victoria,"16,726","16,674",0.31%,0.07%
72,Karratha,Western Australia,"16,477","16,476",0.01%,0.07%
73,Singleton,New South Wales,"16,461","16,135",2.02%,0.07%
74,Batemans Bay,New South Wales,"16,452","15,733",4.57%,0.07%
75,Horsham,Victoria,"16,426","15,894",3.35%,0.07%
76,Port Lincoln,South Australia,"16,342","15,221",7.36%,0.07%
77,Ulladulla,New South Wales,"15,890","14,149",12.31%,0.06%
78,Warwick,Queensland,"15,328","14,607",4.94%,0.06%
79,Kempsey,New South Wales,"15,190","14,494",4.80%,0.06%
80,Bairnsdale,Victoria,"15,155","13,243",14.44%,0.06%
81,Sale,Victoria,"14,826","14,258",3.98%,0.06%
82,Broome,Western Australia,"14,539","12,766",13.89%,0.06%
83,Ulverstone,Tasmania,"14,429","14,109",2.27%,0.06%
84,Port Hedland,Western Australia,"14,314","13,772",3.94%,0.06%
85,Port Pirie,South Australia,"14,286","14,043",1.73%,0.06%
86,Emerald,Queensland,"14,047","13,219",6.26%,0.06%
87,Port Augusta,South Australia,"13,988","13,658",2.42%,0.06%
88,Lithgow,New South Wales,"13,059","12,249",6.61%,0.05%
89,Colac,Victoria,"12,465","11,778",5.83%,0.05%
90,Muswellbrook,New South Wales,"12,401","11,791",5.17%,0.05%
91,Esperance,Western Australia,"12,222","11,432",6.91%,0.05%
92,Mudgee,New South Wales,"12,186","10,483",16.25%,0.05%
93,Parkes,New South Wales,"11,231","10,941",2.65%,0.05%
94,Swan Hill,Victoria,"11,061","10,430",6.05%,0.04%
95,Portland,Victoria,"10,937","10,715",2.07%,0.04%
96,Kingaroy,Queensland,"10,484","9,808",6.89%,0.04%
